,Classifier,Accuracy_train,Accuracy_test,AUC_train,AUC_test,F1_score,Time taken,Ac_rank,Time_rank,C-rank
0,N1_MultinomialNB(),0.814011277184812,0.7772871609063101,0.6379776018396499,0.5675046144152078,0.26838318351908014,8.96598482131958,4.0,11.0,5.0
1,N1_BernoulliNB(),0.8375435244764271,0.8009278749904828,0.7758280565668725,0.7160013904525695,0.5849310237652281,9.66560959815979,2.0,10.0,7.0
2,N1_PassiveAggressiveClassifier_C1(),0.985203996077465,0.7496082255832389,0.9783349382463828,0.6697623111875607,0.5080036159634446,9.954170227050781,7.0,8.0,5.0
3,N1_PassiveAggressiveClassifier_C10(),0.982361174474945,0.7456429511955893,0.9784811298553754,0.6676914637778371,0.5043107438951798,10.299801588058472,9.0,6.0,5.0
4,N1_PassiveAggressiveClassifier_C0.1(),0.9635254651446633,0.77242547440646,0.9431194076356822,0.6865405820379358,0.5349534709598196,11.205453395843506,5.0,4.0,8.5
5,N1_PassiveAggressiveClassifier_C1_balanced(),0.9805657040177381,0.7440719906484712,0.9817104055417876,0.6751169808608763,0.5147891975162845,10.279728412628174,10.0,7.0,1.5
6,N1_PassiveAggressiveClassifier_C10_balanced(),0.9806904828085772,0.7416027705247694,0.9795750700410049,0.6729590511218213,0.5122787920899571,10.479728698730469,11.0,5.0,3.0
7,N1_PassiveAggressiveClassifier_C0.1_balanced(),0.9501343177395773,0.7592569722186144,0.9613598653486723,0.7013252684009958,0.5529134303383562,11.43166446685791,6.0,3.0,8.5
8,N1_LogisticRegression(),0.8478508588197584,0.8030221158281791,0.728543346288847,0.6556466258055893,0.4894361820166053,12.917646884918213,1.0,2.0,11.0
9,N1_AdaBoostClassifier(),0.7990158031071437,0.7913521311901253,0.6610499884643593,0.6462174620317758,0.46605180781397887,28.839969396591187,3.0,1.0,10.0
10,N1_Perceptron(),0.9591864809204098,0.7487110856820391,0.9477481566245617,0.6728342090155367,0.5126452255761046,9.71956181526184,8.0,9.0,1.5
